,name,seed,tgood,vgood,model
0,knn_seed_0_skf_1_paras_1_K_5,0_skf_1,1,1,knn
1,knn_seed_0_skf_3_paras_1_K_5,0_skf_3,1,1,knn
2,knn_seed_1_skf_0_paras_1_K_5,1_skf_0,1,1,knn
3,knn_seed_1_skf_1_paras_1_K_5,1_skf_1,1,1,knn
4,knn_seed_2_skf_0_paras_1_K_5,2_skf_0,1,1,knn
5,knn_seed_3_skf_1_paras_1_K_5,3_skf_1,1,1,knn
6,knn_seed_4_skf_2_paras_1_K_5,4_skf_2,1,1,knn
7,knn_seed_4_skf_4_paras_1_K_5,4_skf_4,1,1,knn
8,knn_seed_5_skf_2_paras_1_K_5,5_skf_2,1,1,knn
9,knn_seed_7_skf_1_paras_1_K_5,7_skf_1,1,1,knn
10,knn_seed_8_skf_2_paras_1_K_5,8_skf_2,1,1,knn
11,knn_seed_11_skf_0_paras_1_K_5,11_skf_0,1,1,knn
12,knn_seed_11_skf_2_paras_1_K_5,11_skf_2,1,1,knn
13,knn_seed_11_skf_4_paras_1_K_5,11_skf_4,1,1,knn
14,knn_seed_12_skf_0_paras_1_K_5,12_skf_0,1,1,knn
15,knn_seed_12_skf_1_paras_1_K_5,12_skf_1,1,1,knn
16,knn_seed_14_skf_1_paras_1_K_5,14_skf_1,1,1,knn
17,knn_seed_14_skf_2_paras_1_K_5,14_skf_2,1,1,knn
18,knn_seed_15_skf_0_paras_1_K_5,15_skf_0,1,1,knn
19,knn_seed_15_skf_1_paras_1_K_5,15_skf_1,1,1,knn
20,knn_seed_16_skf_2_paras_1_K_5,16_skf_2,1,1,knn
21,knn_seed_16_skf_3_paras_1_K_5,16_skf_3,1,1,knn
22,knn_seed_18_skf_2_paras_1_K_5,18_skf_2,1,1,knn
23,knn_seed_18_skf_4_paras_1_K_5,18_skf_4,1,1,knn
24,knn_seed_19_skf_3_paras_1_K_5,19_skf_3,1,1,knn
25,knn_seed_20_skf_3_paras_1_K_5,20_skf_3,1,1,knn
26,knn_seed_20_skf_4_paras_1_K_5,20_skf_4,1,1,knn
27,knn_seed_21_skf_0_paras_1_K_5,21_skf_0,1,1,knn
