,model,name,MCC,seed
0,knn,knn_seed_0_skf_0_paras_3_K_9,0.233,0_skf_0
1,knn,knn_seed_0_skf_1_paras_3_K_9,0.332,0_skf_1
3,knn,knn_seed_0_skf_3_paras_3_K_9,0.214,0_skf_3
5,knn,knn_seed_1_skf_0_paras_3_K_9,0.285,1_skf_0
6,knn,knn_seed_1_skf_1_paras_3_K_9,0.304,1_skf_1
7,knn,knn_seed_1_skf_2_paras_3_K_9,0.371,1_skf_2
8,knn,knn_seed_1_skf_3_paras_3_K_9,0.35,1_skf_3
11,knn,knn_seed_2_skf_1_paras_3_K_9,0.306,2_skf_1
12,knn,knn_seed_2_skf_2_paras_3_K_9,0.282,2_skf_2
14,knn,knn_seed_2_skf_4_paras_3_K_9,0.353,2_skf_4
15,knn,knn_seed_3_skf_0_paras_3_K_9,0.353,3_skf_0
16,knn,knn_seed_3_skf_1_paras_3_K_9,0.387,3_skf_1
17,knn,knn_seed_3_skf_2_paras_3_K_9,0.285,3_skf_2
19,knn,knn_seed_3_skf_4_paras_3_K_9,0.326,3_skf_4
20,knn,knn_seed_4_skf_0_paras_3_K_9,0.35,4_skf_0
21,knn,knn_seed_4_skf_1_paras_3_K_9,0.391,4_skf_1
22,knn,knn_seed_4_skf_2_paras_3_K_9,0.391,4_skf_2
23,knn,knn_seed_4_skf_3_paras_3_K_9,0.259,4_skf_3
24,knn,knn_seed_4_skf_4_paras_3_K_9,0.353,4_skf_4
25,knn,knn_seed_5_skf_0_paras_3_K_9,0.35,5_skf_0
28,knn,knn_seed_5_skf_3_paras_3_K_9,0.34700000000000003,5_skf_3
29,knn,knn_seed_5_skf_4_paras_3_K_9,0.304,5_skf_4
30,knn,knn_seed_6_skf_0_paras_3_K_9,0.337,6_skf_0
31,knn,knn_seed_6_skf_1_paras_3_K_9,0.24100000000000002,6_skf_1
32,knn,knn_seed_6_skf_2_paras_3_K_9,0.374,6_skf_2
33,knn,knn_seed_6_skf_3_paras_3_K_9,0.389,6_skf_3
34,knn,knn_seed_6_skf_4_paras_3_K_9,0.35,6_skf_4
35,knn,knn_seed_7_skf_0_paras_3_K_9,0.34700000000000003,7_skf_0
36,knn,knn_seed_7_skf_1_paras_3_K_9,0.401,7_skf_1
38,knn,knn_seed_7_skf_3_paras_3_K_9,0.23800000000000002,7_skf_3
39,knn,knn_seed_7_skf_4_paras_3_K_9,0.214,7_skf_4
40,knn,knn_seed_8_skf_0_paras_3_K_9,0.374,8_skf_0
41,knn,knn_seed_8_skf_1_paras_3_K_9,0.259,8_skf_1
43,knn,knn_seed_8_skf_3_paras_3_K_9,0.282,8_skf_3
44,knn,knn_seed_8_skf_4_paras_3_K_9,0.395,8_skf_4
45,knn,knn_seed_9_skf_0_paras_3_K_9,0.32799999999999996,9_skf_0
46,knn,knn_seed_9_skf_1_paras_3_K_9,0.326,9_skf_1
47,knn,knn_seed_9_skf_2_paras_3_K_9,0.282,9_skf_2
48,knn,knn_seed_9_skf_3_paras_3_K_9,0.371,9_skf_3
49,knn,knn_seed_9_skf_4_paras_3_K_9,0.38,9_skf_4
50,knn,knn_seed_10_skf_0_paras_3_K_9,0.401,10_skf_0
51,knn,knn_seed_10_skf_1_paras_3_K_9,0.21100000000000002,10_skf_1
52,knn,knn_seed_10_skf_2_paras_3_K_9,0.34700000000000003,10_skf_2
53,knn,knn_seed_10_skf_3_paras_3_K_9,0.374,10_skf_3
54,knn,knn_seed_10_skf_4_paras_3_K_9,0.395,10_skf_4
55,knn,knn_seed_11_skf_0_paras_3_K_9,0.36700000000000005,11_skf_0
56,knn,knn_seed_11_skf_1_paras_3_K_9,0.374,11_skf_1
57,knn,knn_seed_11_skf_2_paras_3_K_9,0.309,11_skf_2
58,knn,knn_seed_11_skf_3_paras_3_K_9,0.315,11_skf_3
60,knn,knn_seed_12_skf_0_paras_3_K_9,0.368,12_skf_0
61,knn,knn_seed_12_skf_1_paras_3_K_9,0.28600000000000003,12_skf_1
62,knn,knn_seed_12_skf_2_paras_3_K_9,0.261,12_skf_2
63,knn,knn_seed_12_skf_3_paras_3_K_9,0.23399999999999999,12_skf_3
65,knn,knn_seed_13_skf_0_paras_3_K_9,0.371,13_skf_0
66,knn,knn_seed_13_skf_1_paras_3_K_9,0.315,13_skf_1
67,knn,knn_seed_13_skf_2_paras_3_K_9,0.353,13_skf_2
68,knn,knn_seed_13_skf_3_paras_3_K_9,0.304,13_skf_3
69,knn,knn_seed_13_skf_4_paras_3_K_9,0.389,13_skf_4
70,knn,knn_seed_14_skf_0_paras_3_K_9,0.401,14_skf_0
71,knn,knn_seed_14_skf_1_paras_3_K_9,0.38,14_skf_1
72,knn,knn_seed_14_skf_2_paras_3_K_9,0.326,14_skf_2
73,knn,knn_seed_14_skf_3_paras_3_K_9,0.326,14_skf_3
74,knn,knn_seed_14_skf_4_paras_3_K_9,0.233,14_skf_4
75,knn,knn_seed_15_skf_0_paras_3_K_9,0.368,15_skf_0
76,knn,knn_seed_15_skf_1_paras_3_K_9,0.32799999999999996,15_skf_1
77,knn,knn_seed_15_skf_2_paras_3_K_9,0.395,15_skf_2
78,knn,knn_seed_15_skf_3_paras_3_K_9,0.20800000000000002,15_skf_3
79,knn,knn_seed_15_skf_4_paras_3_K_9,0.23399999999999999,15_skf_4
80,knn,knn_seed_16_skf_0_paras_3_K_9,0.371,16_skf_0
81,knn,knn_seed_16_skf_1_paras_3_K_9,0.395,16_skf_1
82,knn,knn_seed_16_skf_2_paras_3_K_9,0.23399999999999999,16_skf_2
83,knn,knn_seed_16_skf_3_paras_3_K_9,0.332,16_skf_3
84,knn,knn_seed_16_skf_4_paras_3_K_9,0.259,16_skf_4
86,knn,knn_seed_17_skf_1_paras_3_K_9,0.337,17_skf_1
87,knn,knn_seed_17_skf_2_paras_3_K_9,0.261,17_skf_2
88,knn,knn_seed_17_skf_3_paras_3_K_9,0.23800000000000002,17_skf_3
89,knn,knn_seed_17_skf_4_paras_3_K_9,0.35,17_skf_4
90,knn,knn_seed_18_skf_0_paras_3_K_9,0.284,18_skf_0
91,knn,knn_seed_18_skf_1_paras_3_K_9,0.348,18_skf_1
92,knn,knn_seed_18_skf_2_paras_3_K_9,0.35,18_skf_2
93,knn,knn_seed_18_skf_3_paras_3_K_9,0.28300000000000003,18_skf_3
94,knn,knn_seed_18_skf_4_paras_3_K_9,0.353,18_skf_4
95,knn,knn_seed_19_skf_0_paras_3_K_9,0.371,19_skf_0
96,knn,knn_seed_19_skf_1_paras_3_K_9,0.315,19_skf_1
97,knn,knn_seed_19_skf_2_paras_3_K_9,0.21100000000000002,19_skf_2
98,knn,knn_seed_19_skf_3_paras_3_K_9,0.34700000000000003,19_skf_3
99,knn,knn_seed_19_skf_4_paras_3_K_9,0.28300000000000003,19_skf_4
0,lr,lr_seed_0_skf_0_paras_2_C_0.01_weight_balanced,0.35,0_skf_0
1,lr,lr_seed_0_skf_1_paras_2_C_0.01_weight_balanced,0.326,0_skf_1
2,lr,lr_seed_0_skf_2_paras_2_C_0.01_weight_balanced,0.3,0_skf_2
3,lr,lr_seed_0_skf_3_paras_2_C_0.01_weight_balanced,0.326,0_skf_3
4,lr,lr_seed_0_skf_4_paras_2_C_0.01_weight_balanced,0.33,0_skf_4
5,lr,lr_seed_1_skf_0_paras_2_C_0.01_weight_balanced,0.33399999999999996,1_skf_0
6,lr,lr_seed_1_skf_1_paras_2_C_0.01_weight_balanced,0.3,1_skf_1
7,lr,lr_seed_1_skf_2_paras_2_C_0.01_weight_balanced,0.353,1_skf_2
8,lr,lr_seed_1_skf_3_paras_2_C_0.01_weight_balanced,0.303,1_skf_3
9,lr,lr_seed_1_skf_4_paras_2_C_0.01_weight_balanced,0.345,1_skf_4
11,lr,lr_seed_2_skf_1_paras_2_C_0.01_weight_balanced,0.353,2_skf_1
12,lr,lr_seed_2_skf_2_paras_2_C_0.01_weight_balanced,0.322,2_skf_2
13,lr,lr_seed_2_skf_3_paras_2_C_0.01_weight_balanced,0.29100000000000004,2_skf_3
14,lr,lr_seed_2_skf_4_paras_2_C_0.01_weight_balanced,0.369,2_skf_4
15,lr,lr_seed_3_skf_0_paras_2_C_0.01_weight_balanced,0.308,3_skf_0
16,lr,lr_seed_3_skf_1_paras_2_C_0.01_weight_balanced,0.319,3_skf_1
17,lr,lr_seed_3_skf_2_paras_2_C_0.01_weight_balanced,0.358,3_skf_2
18,lr,lr_seed_3_skf_3_paras_2_C_0.01_weight_balanced,0.311,3_skf_3
20,lr,lr_seed_4_skf_0_paras_2_C_0.01_weight_balanced,0.315,4_skf_0
21,lr,lr_seed_4_skf_1_paras_2_C_0.01_weight_balanced,0.369,4_skf_1
23,lr,lr_seed_4_skf_3_paras_2_C_0.01_weight_balanced,0.297,4_skf_3
24,lr,lr_seed_4_skf_4_paras_2_C_0.01_weight_balanced,0.3,4_skf_4
25,lr,lr_seed_5_skf_0_paras_2_C_0.01_weight_balanced,0.308,5_skf_0
26,lr,lr_seed_5_skf_1_paras_2_C_0.01_weight_balanced,0.28,5_skf_1
27,lr,lr_seed_5_skf_2_paras_2_C_0.01_weight_balanced,0.353,5_skf_2
28,lr,lr_seed_5_skf_3_paras_2_C_0.01_weight_balanced,0.374,5_skf_3
29,lr,lr_seed_5_skf_4_paras_2_C_0.01_weight_balanced,0.365,5_skf_4
30,lr,lr_seed_6_skf_0_paras_2_C_0.01_weight_balanced,0.358,6_skf_0
31,lr,lr_seed_6_skf_1_paras_2_C_0.01_weight_balanced,0.3,6_skf_1
32,lr,lr_seed_6_skf_2_paras_2_C_0.01_weight_balanced,0.308,6_skf_2
33,lr,lr_seed_6_skf_3_paras_2_C_0.01_weight_balanced,0.369,6_skf_3
34,lr,lr_seed_6_skf_4_paras_2_C_0.01_weight_balanced,0.35,6_skf_4
