,model,name,MCC,seed
0,knn,knn_seed_0_skf_0_paras_1_K_5,0.34,0_skf_0
1,knn,knn_seed_0_skf_1_paras_1_K_5,0.423,0_skf_1
2,knn,knn_seed_0_skf_2_paras_1_K_5,0.359,0_skf_2
3,knn,knn_seed_0_skf_3_paras_1_K_5,0.359,0_skf_3
4,knn,knn_seed_0_skf_4_paras_1_K_5,0.29100000000000004,0_skf_4
5,knn,knn_seed_1_skf_0_paras_1_K_5,0.34700000000000003,1_skf_0
6,knn,knn_seed_1_skf_1_paras_1_K_5,0.359,1_skf_1
7,knn,knn_seed_1_skf_2_paras_1_K_5,0.40299999999999997,1_skf_2
8,knn,knn_seed_1_skf_3_paras_1_K_5,0.34700000000000003,1_skf_3
9,knn,knn_seed_1_skf_4_paras_1_K_5,0.315,1_skf_4
10,knn,knn_seed_2_skf_0_paras_1_K_5,0.38299999999999995,2_skf_0
11,knn,knn_seed_2_skf_1_paras_1_K_5,0.369,2_skf_1
12,knn,knn_seed_2_skf_2_paras_1_K_5,0.315,2_skf_2
14,knn,knn_seed_2_skf_4_paras_1_K_5,0.324,2_skf_4
15,knn,knn_seed_3_skf_0_paras_1_K_5,0.3,3_skf_0
16,knn,knn_seed_3_skf_1_paras_1_K_5,0.337,3_skf_1
17,knn,knn_seed_3_skf_2_paras_1_K_5,0.315,3_skf_2
18,knn,knn_seed_3_skf_3_paras_1_K_5,0.429,3_skf_3
19,knn,knn_seed_3_skf_4_paras_1_K_5,0.34,3_skf_4
20,knn,knn_seed_4_skf_0_paras_1_K_5,0.337,4_skf_0
22,knn,knn_seed_4_skf_2_paras_1_K_5,0.34,4_skf_2
23,knn,knn_seed_4_skf_3_paras_1_K_5,0.324,4_skf_3
24,knn,knn_seed_4_skf_4_paras_1_K_5,0.34700000000000003,4_skf_4
25,knn,knn_seed_5_skf_0_paras_1_K_5,0.332,5_skf_0
27,knn,knn_seed_5_skf_2_paras_1_K_5,0.369,5_skf_2
28,knn,knn_seed_5_skf_3_paras_1_K_5,0.306,5_skf_3
29,knn,knn_seed_5_skf_4_paras_1_K_5,0.34,5_skf_4
30,knn,knn_seed_6_skf_0_paras_1_K_5,0.275,6_skf_0
31,knn,knn_seed_6_skf_1_paras_1_K_5,0.34700000000000003,6_skf_1
32,knn,knn_seed_6_skf_2_paras_1_K_5,0.315,6_skf_2
33,knn,knn_seed_6_skf_3_paras_1_K_5,0.309,6_skf_3
34,knn,knn_seed_6_skf_4_paras_1_K_5,0.369,6_skf_4
35,knn,knn_seed_7_skf_0_paras_1_K_5,0.309,7_skf_0
36,knn,knn_seed_7_skf_1_paras_1_K_5,0.429,7_skf_1
37,knn,knn_seed_7_skf_2_paras_1_K_5,0.371,7_skf_2
38,knn,knn_seed_7_skf_3_paras_1_K_5,0.34700000000000003,7_skf_3
39,knn,knn_seed_7_skf_4_paras_1_K_5,0.3,7_skf_4
