,model,name,MCC,seed
0,knn,knn_seed_0_skf_0_paras_0_K_3,0.235,0_skf_0
1,knn,knn_seed_0_skf_1_paras_0_K_3,0.368,0_skf_1
2,knn,knn_seed_0_skf_2_paras_0_K_3,0.20800000000000002,0_skf_2
3,knn,knn_seed_0_skf_3_paras_0_K_3,0.259,0_skf_3
5,knn,knn_seed_1_skf_0_paras_0_K_3,0.348,1_skf_0
6,knn,knn_seed_1_skf_1_paras_0_K_3,0.233,1_skf_1
7,knn,knn_seed_1_skf_2_paras_0_K_3,0.306,1_skf_2
8,knn,knn_seed_1_skf_3_paras_0_K_3,0.326,1_skf_3
9,knn,knn_seed_1_skf_4_paras_0_K_3,0.258,1_skf_4
10,knn,knn_seed_2_skf_0_paras_0_K_3,0.304,2_skf_0
11,knn,knn_seed_2_skf_1_paras_0_K_3,0.34700000000000003,2_skf_1
12,knn,knn_seed_2_skf_2_paras_0_K_3,0.326,2_skf_2
13,knn,knn_seed_2_skf_3_paras_0_K_3,0.29100000000000004,2_skf_3
14,knn,knn_seed_2_skf_4_paras_0_K_3,0.348,2_skf_4
15,knn,knn_seed_3_skf_0_paras_0_K_3,0.214,3_skf_0
16,knn,knn_seed_3_skf_1_paras_0_K_3,0.326,3_skf_1
17,knn,knn_seed_3_skf_2_paras_0_K_3,0.304,3_skf_2
18,knn,knn_seed_3_skf_3_paras_0_K_3,0.261,3_skf_3
19,knn,knn_seed_3_skf_4_paras_0_K_3,0.38,3_skf_4
20,knn,knn_seed_4_skf_0_paras_0_K_3,0.309,4_skf_0
21,knn,knn_seed_4_skf_1_paras_0_K_3,0.306,4_skf_1
22,knn,knn_seed_4_skf_2_paras_0_K_3,0.284,4_skf_2
23,knn,knn_seed_4_skf_3_paras_0_K_3,0.306,4_skf_3
25,knn,knn_seed_5_skf_0_paras_0_K_3,0.391,5_skf_0
26,knn,knn_seed_5_skf_1_paras_0_K_3,0.324,5_skf_1
27,knn,knn_seed_5_skf_2_paras_0_K_3,0.259,5_skf_2
28,knn,knn_seed_5_skf_3_paras_0_K_3,0.214,5_skf_3
